Company;CI Name;CI Description;Domain;DNS Host Name;Priority;Region;System Role;Site Group;Manufacturer;Product Name;;Site;Tier 1;Tier 2;Tier 3;Tag Number;NbrCells;Status;CI ID;Model Version
Capita TfL GB;PCN-J013-LRN-46M;PCN-J013-LRN-46M | Sector 12 | Ticket Hall_Escalator;TFLGB-PCN-J013-LRN-46M;PCN-J013-LRN-46M;Priority_5;London;LRN;Southwark;SOLiD;SOLiD LRN;Ticket Hall_Escalator;TFLGB-J013;RAN;Multi Techno;Repeater, Transcoder;Sector 12;;Deployed;;
Capita TfL GB;PCN-J009-DAS19;PCN-J009-DAS19 | Sector 19 | BTS Hotel;TFL-GB-PCN-J009-DAS19;PCN-J009-DAS19;Priority_1;London;DAU;Canada Water;SOLiD;SOLiD DAU;;TFLGB-J009;RAN;Multi Techno;Repeater, Transcoder;Sector 19;;Deployed;;
Capita TfL GB;PCN-J012-J-WBLO-HRN-003S;PCN-J012-J-WBLO-HRN-003S | Sector 22 | West Tunnel;TFLGB-PCN-J012-J-WBLO-HRN-003S;PCN-J012-J-WBLO-HRN-003S;Priority_5;London;HRN;Canada Water;SOLiD;SOLiD HRN;West Tunnel;TFLGB-J012;RAN;Multi Techno;Repeater, Transcoder;Sector 22;;Deployed;;
Capita TfL GB;PCN-J013-LRN-25M;PCN-J013-LRN-25M | Sector 12 | Ticket Hall_Escalator;TFLGB-PCN-J013-LRN-25M;PCN-J013-LRN-25M;Priority_5;London;LRN;Southwark;SOLiD;SOLiD LRN;Ticket Hall_Escalator;TFLGB-J013;RAN;Multi Techno;Repeater, Transcoder;Sector 12;;Deployed;;
Capita TfL GB;PCN-J014-J-EBLO-HRN-002M;PCN-J014-J-EBLO-HRN-002M | Sector 25 | East Tunnel;TFLGB-PCN-J014-J-EBLO-HRN-002M;PCN-J014-J-EBLO-HRN-002M;Priority_5;London;HRN;Bermondsey;SOLiD;SOLiD HRN;East Tunnel;TFLGB-J014;RAN;Multi Techno;Repeater, Transcoder;Sector 25;;Deployed;;
Capita TfL GB;PCN-D101-HCU-ZDC8-S;PCN-D101-HCU-ZDC8-S | Sector 3 | Ticket Hall_Escalator;TFLGB-PCN-D101-HCU-ZDC8-S;PCN-D101-HCU-ZDC8-S;Priority_5;London;HCU;Westminster;SOLiD;SOLiD HCU;Ticket Hall_Escalator;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 3;;Deployed;;
Capita TfL GB;PCN-J013-HCU-ZDC7-S;PCN-J013-HCU-ZDC7-S | Sector 11 | Platform 2;TFLGB-PCN-J013-HCU-ZDC7-S;PCN-J013-HCU-ZDC7-S;Priority_5;London;HCU;Southwark;SOLiD;SOLiD HCU;Platform 2;TFLGB-J013;RAN;Multi Techno;Repeater, Transcoder;Sector 11;;Deployed;;
Capita TfL GB;PCN-D101-HCU-ZDC4-M;PCN-D101-HCU-ZDC4-M | Sector 3 | Ticket Hall_Escalator;TFLGB-PCN-D101-HCU-ZDC4-M;PCN-D101-HCU-ZDC4-M;Priority_5;London;HCU;Westminster;SOLiD;SOLiD HCU;Ticket Hall_Escalator;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 3;;Deployed;;
Capita TfL GB;PCN-J005-LRN-65S;PCN-J005-LRN-65S | Sector 31 | Platform;TFLGB-PCN-J005-LRN-65S;PCN-J005-LRN-65S;Priority_5;London;LRN;North Greenwhich;SOLiD;SOLiD LRN;Platform;TFLGB-J005;RAN;Multi Techno;Repeater, Transcoder;Sector 31;;Deployed;;
Capita TfL GB;PCN-J016-J-EBLO-HRN-002S;PCN-J016-J-EBLO-HRN-002S | Sector 18 | East Tunnel;TFLGB-PCN-J016-J-EBLO-HRN-002S;PCN-J016-J-EBLO-HRN-002S;Priority_5;London;HRN;London Bridge;SOLiD;SOLiD HRN;East Tunnel;TFLGB-J016;RAN;Multi Techno;Repeater, Transcoder;Sector 18;;Deployed;;
