Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;Additional Site Details;Status
EMTS NG;EMT-4212;EMT-4212;Accessible 24/7;Benin;Benin;No 17 Iyobosa Street. Off second Circular. Benin City;Nigeria;Benin;6.31913;5.63269;;;;;Enabled
EMTS NG;EMT-4213;EMT-4213;Accessible 24/7;Benin;Benin;NO 2. ASEMOTA STREET. OFF AGHO STREET. IHIMWIRHIN QTRS. UPPER SAKPONBA. BENIN CITY. EDO STATE;Nigeria;Benin;6.31343;5.65641;;;;;Enabled
EMTS NG;EMT-4215;EMT-4215;Accessible 24/7;Benin;Benin;no 31 lucky way iwogba qtr benin city;Nigeria;Benin;6.36739;5.66144;;;;;Enabled
EMTS NG;EMT-4217;EMT-4217;Accessible 24/7;Benin;Benin;A plot of land at Akengboda Street Ogbesan Quarters Ikpoba Hill Benin City;Nigeria;Benin;6.34009;5.68986;;;;;Enabled
EMTS NG;EMT-4218;EMT-4218;Accessible 24/7;Benin;Benin;32 Oseweakhai street. off Agbor road. Raat Park Benin city;Nigeria;Benin;6.34471;5.66024;;;;;Enabled
EMTS NG;EMT-4219;EMT-4219;Accessible 24/7;Benin;Benin;83 SAINT SAVIOURS ROAD.OFF UPPER SAKPONBA ROAD.BENIN CITY.EDO STATE;Nigeria;Benin;6.32262;5.646399;;;;;Enabled
EMTS NG;EMT-4221;EMT-4221;Accessible 24/7;Benin;Benin;7 Osa -Oviawe drive off Limit road. Ugbor /Etete layout . Benin City Edo State;Nigeria;Benin;6.28059;5.61725;;;;;Enabled
EMTS NG;EMT-4222;EMT-4222;Accessible 24/7;Benin;Benin;NO 56 IGBESAMWAM STREET. OFF AKPAKAPAVA ROAD. BENIN CITY;Nigeria;Benin;6.33099;5.63269;;;;;Enabled
EMTS NG;EMT-4224;EMT-4224;Accessible 24/7;Benin;Benin;75. Aerodrome close. off Goodwill Street. Ekewan road. Benin City;Nigeria;Benin;6.32303;5.57558;;;;;Enabled
EMTS NG;EMT-4225;EMT-4225;Accessible 24/7;Benin;Benin;47 Osazuwa Street. Evbotubu Quarters. Benin City. Edo State;Nigeria;Benin;6.3335;5.57675;;;;;Enabled
EMTS NG;EMT-4226;EMT-4226;Accessible 24/7;Benin;Benin;NO. 43 OKUNDAIA STREET  OFF OMOKHARO VIA SILUKO ROAD OGIDA QTRS BENIN CITY EDO STATE;Nigeria;Benin;6.3566;5.60264;;;;;Enabled
EMTS NG;EMT-4227;EMT-4227;Accessible 24/7;Benin;Benin;2b Oghogho Street. Off Okhoro Road. Benin City. Edo State;Nigeria;Benin;6.36661;5.62983;;;;;Enabled
EMTS NG;EMT-4228;EMT-4228;Accessible 24/7;Benin;Benin;NO 10.OTAKHO IYAMU STREET OFF IYOBOR STREET UWELU QUARTERS BENIN CITY EDO STATE;Nigeria;Benin;6.381897;5.588457;;;;;Enabled
EMTS NG;EMT-4246;EMT-4246;Accessible 24/7;Ilorin;Ilorin;OKOTO.IYOGBE QUARTERS.JATTU EDO STATE;Nigeria;Ilorin;7.093;6.29312;;;;;Enabled
EMTS NG;EMT-4250;EMT-4250;Accessible 24/7;Benin;Benin;No 1 Hospital Road. Behind Okugbe Primary School. Ekpan. Delta State;Nigeria;Benin;5.56148;5.7457;;;;;Enabled
EMTS NG;EMT-4253;EMT-4253;Accessible 24/7;Benin;Benin;11B Oki Street. off Okere Road.Opp Prison Staff Club. Warri. Delta State;Nigeria;Benin;5.52249;5.74572;;;;;Enabled
EMTS NG;EMT-4254;EMT-4254;Accessible 24/7;Benin;Benin;20 Odien Street. Esi Layout. Warri. Delta State;Nigeria;Benin;5.51355;5.76234;;;;;Enabled
EMTS NG;EMT-4258;EMT-4258;Accessible 24/7;Benin;Benin;Along Old Okoude RD. Uduaka Qtr. Jesse Town. Delta State;Nigeria;Benin;5.86705;5.75624;;;;;Enabled
EMTS NG;EMT-4259;EMT-4259;Accessible 24/7;Benin;Benin;Open space along Songhai rd Eko-Aukpe Sapele. Delta state;Nigeria;Benin;5.84631;5.74117;;;;;Enabled
EMTS NG;EMT-4260;EMT-4260;Accessible 24/7;Benin;Benin;OFF 43 EKU-WARRI ROAD.OKEREKPO VILLAGE.ETHIOPE EAST LGA.DELTA STATE;Nigeria;Benin;5.96268;5.96268;;;;;Enabled
